randomization1,covidtest,covidtestresult,randomization2,treatment
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
